id,name,start,end,reason
231,Libice n.C. - Poděbrady,20101212155500,20101212190000,následky srážky vlaku s osobou
41,Jičín - Libuň,20101212154000,20101212190000,následky srážky vlaku s osobou
91,Kralupy n.Vlt. - Kralupy n.Vlt.,20101214065600,20101214100000,následky srážky vlaku s osobou
250,Sázava u Žď. - Sázava u Žď.,20101215051200,20101215073000,následky srážky vlaku s osobou
20,Hr.Králové-Sl.Př. - Hradec Králové hl.n.,20101215200900,20101215230000,následky srážky vlaku s osobou
270,Studénka - Suchdol n.O.,20101217160500,20101217190000,následky srážky vlaku s osobou
36,Jablonec n.N.dol.n. - Jablonec n.N.,20101218050000,20101218110000,následky srážky vlaku s osobou
291,Zábřeh na M. - Postřelmov,20101218230600,20101219040000,následky srážky vlaku s osobou
250,Hrušovany u Brna - Modřice,20101220222900,20101221040000,následky srážky vlaku s osobou
290,Uničov - Troubelice,20101221213800,20101221235900,následky srážky vlaku s osobou
231,Kolín - V.Osek,20101223192000,20101223220000,následky srážky vlaku s osobou
10,Kostěnice - Moravany,20101223204000,20101223233000,následky srážky vlaku s osobou
190,Horažďovice př. - Střelské Hoštice,20110101190000,20110101213000,následky srážky vlaku s osobou
130,Chomutov - Kyjice,20110102175500,20110102195500,následky srážky vlaku s osobou
221,Praha-Hostivař - Praha-Vršovice,20110106142000,20110106170000,následky srážky vlaku s osobou
240,Střelice - Brno-H.Heršpice,20110108134500,20110108175500,následky srážky vlaku s osobou
301,Vrbátky - Prostějov hl.n.,20110109192300,20110109230000,následky srážky vlaku s osobou
321,Havířov - Albrechtice u Č.T.,20110110162000,20110110190000,následky srážky vlaku s osobou
280,Vsetín - Valašské Meziříčí,20110111043000,20110111110000,následky srážky vlaku s osobou
10,Brandýs n.Orl. - Choceň,20110111095000,20110111123000,následky srážky vlaku s osobou
171,Praha-Smíchov - Praha-Radotín,20110112185000,20110112230000,následky srážky vlaku s osobou
110,Slaný - Zlonice,20110113050100,20110113080100,následky srážky vlaku s osobou
260,Svitavy - Březová n.Svit.,20110117104500,20110117140000,následky srážky vlaku s osobou
231,Praha hl.n. - Praha-Vysočany,20110117205000,20110117225000,následky srážky vlaku s osobou
21,Doudleby n.Orl. - Potštejn,20110118170000,20110118200000,následky srážky vlaku s osobou
196,Kaplice - Kaplice,20110118172000,20110118200500,následky srážky vlaku s osobou
323,Veřovice - Valašské Meziříčí,20110118200300,20110118223500,následky srážky vlaku s osobou
330,Hodonín - Hodonín,20110120193000,20110120223000,následky srážky vlaku s osobou
194,Č.Krumlov - Zlatá Koruna,20110123151500,20110123190000,následky srážky vlaku s osobou
